#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=143928 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:0.00 aq:0.02 tex:3552468 mv:301931 misc:489 imb:8160 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:6502121 mv:70449 misc:918 imb:2955 pmb:5203 smb:2 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:0.00 aq:0.33 tex:5482094 mv:112540 misc:982 imb:974 pmb:7168 smb:18 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:0.00 aq:0.47 tex:4791069 mv:110254 misc:877 imb:797 pmb:7346 smb:17 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:3436243 mv:65238 misc:2063 imb:975 pmb:6842 smb:343 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:2780552 mv:57312 misc:3448 imb:729 pmb:6520 smb:911 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:0.12 aq:0.01 tex:1891985 mv:55328 misc:4031 imb:750 pmb:6324 smb:1086 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:0.03 aq:0.01 tex:1213355 mv:50228 misc:4905 imb:613 pmb:6006 smb:1541 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:1044014 mv:34697 misc:6537 imb:236 pmb:5218 smb:2706 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:0.00 aq:0.50 tex:773268 mv:29493 misc:6615 imb:138 pmb:4516 smb:3506 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:0.00 aq:0.10 tex:731424 mv:26485 misc:7099 imb:127 pmb:4632 smb:3401 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2338949 mv:67864 misc:691 imb:5932 pmb:2219 smb:9 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:0.00 aq:0.53 tex:509917 mv:29681 misc:6946 imb:41 pmb:4703 smb:3416 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:686243 mv:18375 misc:5046 imb:42 pmb:2595 smb:5523 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:448486 mv:17367 misc:4491 imb:77 pmb:2303 smb:5780 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:436608 mv:16275 misc:4621 imb:94 pmb:2204 smb:5862 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:0.00 aq:0.31 tex:389445 mv:18607 misc:4428 imb:77 pmb:2353 smb:5730 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:0.00 aq:0.04 tex:423206 mv:15553 misc:4513 imb:75 pmb:2038 smb:6047 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:382130 mv:20618 misc:4380 imb:53 pmb:2470 smb:5637 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:360568 mv:20657 misc:4559 imb:177 pmb:2363 smb:5620 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:390222 mv:20396 misc:4574 imb:112 pmb:2378 smb:5670 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:0.00 aq:0.12 tex:400183 mv:20743 misc:4730 imb:79 pmb:2480 smb:5601 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:0.00 aq:0.22 tex:421291 mv:17333 misc:4528 imb:100 pmb:2211 smb:5849 d:- ref:0 ;
